competition,date,match,team,pos,pos_role,player,rater,is_human,original_rating,goals,assists,shots_ontarget,shots_offtarget,shotsblocked,chances2score,drib_success,drib_unsuccess,keypasses,touches,passes_acc,passes_inacc,crosses_acc,crosses_inacc,lballs_acc,lballs_inacc,grduels_w,grduels_l,aerials_w,aerials_l,poss_lost,fouls,wasfouled,clearances,stop_shots,interceptions,tackles,dribbled_past,tballs_acc,tballs_inacc,ycards,rcards,dangmistakes,countattack,offsides,goals_ag_otb,goals_ag_itb,saves_itb,saves_otb,saved_pen,missed_penalties,owngoals,degree_centrality,betweenness_centrality,closeness_centrality,flow_centrality,flow_success,betweenness2goals,win,lost,is_home_team,minutesPlayed,game_duration
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,MF,DMC,Ovidiu Hoban,Kicker,1,4,0,0,0,1,0,1,0,0,0,33,17,5,0,0,2,0,1,5,0,2,11,0,1,0,1,8,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.071428571,0.141453731,0.603571429,0.202898551,0.490963478,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,MF,DMC,Ovidiu Hoban,WhoScored,0,6.12,0,0,0,1,0,1,0,0,0,33,17,5,0,0,2,0,1,5,0,2,11,0,1,0,1,8,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.071428571,0.141453731,0.603571429,0.202898551,0.490963478,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,MF,DMC,Ovidiu Hoban,SofaScore,0,6.4,0,0,0,1,0,1,0,0,0,33,17,5,0,0,2,0,1,5,0,2,11,0,1,0,1,8,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.071428571,0.141453731,0.603571429,0.202898551,0.490963478,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,GK,GK,Ciprian Tatarusanu,Kicker,1,3,0,0,0,0,0,0,0,0,0,28,12,6,0,0,6,6,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,3,0,0,0,0.785714286,0.076854362,0.574829932,0.130434783,0,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,GK,GK,Ciprian Tatarusanu,WhoScored,0,6.1,0,0,0,0,0,0,0,0,0,28,12,6,0,0,6,6,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,3,0,0,0,0.785714286,0.076854362,0.574829932,0.130434783,0,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,GK,GK,Ciprian Tatarusanu,SofaScore,0,6.2,0,0,0,0,0,0,0,0,0,28,12,6,0,0,6,6,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,3,0,0,0,0.785714286,0.076854362,0.574829932,0.130434783,0,0,0,1,0,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,Sub,Sub,Alexandru Chipciu,WhoScored,0,5.98,0,0,0,0,0,0,0,0,0,17,7,2,0,3,0,1,3,2,0,1,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714,0.105698444,0.603571429,0.15942029,0,0,0,1,0,18,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,Sub,Sub,Gabriel Torje,WhoScored,0,6.14,0,0,0,0,0,0,1,0,0,8,2,0,0,2,0,1,1,0,0,0,3,0,1,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.285714286,0,0.50297619,0.057971014,0,0,0,1,0,8,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",Romania,Sub,Sub,Denis Alibec,WhoScored,0,6.16,0,0,0,0,0,0,3,1,0,13,4,1,0,1,0,0,2,6,0,5,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.096489036,0.50297619,0.057971014,0,0,0,1,0,29,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,FW,FWR,Antoine Griezmann,SofaScore,0,6.7,0,0,0,3,2,3,0,0,0,27,13,4,0,0,0,0,1,3,0,1,11,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.073593566,0.635338346,0.232876712,2.026114174,0,1,0,1,66,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,FW,FWR,Antoine Griezmann,WhoScored,0,6.46,0,0,0,3,2,3,0,0,0,27,13,4,0,0,0,0,1,3,0,1,11,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.073593566,0.635338346,0.232876712,2.026114174,0,1,0,1,66,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,FW,FWR,Antoine Griezmann,Kicker,1,4,0,0,0,3,2,3,0,0,0,27,13,4,0,0,0,0,1,3,0,1,11,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.073593566,0.635338346,0.232876712,2.026114174,0,1,0,1,66,90"
